CountyName,year,Reporting date,"
Search and rescue time",Case closing time,Cases older than 48 hours (yes/no),Mountain domain name,Mountain area management agency,Entrance to the mountain,destination,Out of the mountain pass,X_3826,Y_3826,Main cause of occurrence,District fire protection unit,Volume-Total,Number of police dispatches,National Park Service missions,Number of dispatches from the Forest Service,Person,Ministry of Defense Seagull helicopter sorties,Quantity,Search and rescue dog dispatches,Unmanned aerial photography sorties dispatched,Whether it violates relevant mountain climbing laws,death,rescued,health status,missing,Yes/no Send to hospital
縣市別,西元年,報案時日,搜救時間,結案時間,超過48小時案件(是/否),山域名稱,山域管理(制)機關,入山口,目的地,出山口,X座標,Y座標,發生主因,轄區消防單位,鄰近支援單位,警察出動人次,國家公園管理處出動人次,林務局出動人次,民間搜救人次,國防部海鷗直升機出動架次,空勤總隊直升機出動架次,搜救犬出動次,無人空拍機出動架次,是否違反相關登山法令,死亡,獲救,健康狀況,失蹤,備註 (是/否送醫)
宜蘭縣,2022,2022/1/27 14:11,2022/2/27 18:41,2022/3/27 19:00,否,大南澳越嶺段,,大南澳越嶺段,大南澳越嶺段,大南澳越嶺段,24.4827,121.8315,迷路,4,0,0,0,0,0,0,0,0,0,,0,1,0,0,是
宜蘭縣,2022,2022/2/27 18:56,2022/2/27 20:47,2022/2/27 21:01,否,五峰旗聖母朝聖地,,聖母山莊,聖母山莊,聖母山莊,24.833,121.745,迷路,9,0,0,0,0,0,0,0,0,0,,0,2,2,0,否
宜蘭縣,2022,2022/3/4 16:36,2022/3/4 22:11,2022/3/6 07:36,否,桶后越嶺步道,,桶后越嶺步道,桶后越嶺步道,桶后越嶺步道,24.4916,121.4117,迷路,7,0,0,0,2,0,0,0,0,0,,0,2,2,0,否
宜蘭縣,2022,2022/4/22 15:26,2022/5/6 23:00,2022/5/7 00:35,是,宜蘭縣大同鄉太平山莊,,宜蘭縣大同鄉太平山莊,宜蘭縣大同鄉太平山莊,宜蘭縣大同鄉太平山莊,24.4926365,121.5367289,迷路,119,2,16,0,108,0,0,0,2,2,,0,0,0,1,否
宜蘭縣,2022,2022/6/4 19:22,2022/6/5 08:25,2022/6/6 05:22,否,大同鄉松羅湖,,大同鄉松羅湖登山口,大同鄉松羅湖,大同鄉松羅湖登山口,24.41323,121.32157,創傷,12,0,0,0,0,0,0,0,0,0,,0,1,0,0,是
宜蘭縣,2022,2022/6/18 15:09,2022/6/18 19:45,2022/6/18 19:51,否,礁溪鄉月眉坑瀑布,,五峰旗風景區入口處 ,礁溪鄉月眉坑瀑布,五峰旗風景區入口處 ,24.8314,121.7342,創傷,7,0,0,0,0,0,0,0,0,0,,0,1,0,0,是
宜蘭縣,2022,2022/6/19 10:44,2022/6/19 15:05,2022/6/19 16:01,否,礁溪鄉烘爐地山,,櫻花陵園,礁溪鄉烘爐地山,櫻花陵園,24.83333,121.70222,創傷,8,0,0,0,0,0,0,0,0,0,,0,1,0,0,是
宜蘭縣,2022,2022/7/16 22:47,2022/8/17 03:54,,否,小礁溪桶后步道山,,烏來區入山口,桶後步道,小礁溪桶后步道山登山口,24.8,121.6,迷路,8,0,0,0,1,0,0,0,0,0,否,0,1,1,0,否
宜蘭縣,2022,2022/12/3 11:02,2022/12/3 18:50,,否,宜蘭縣員山鄉冷埤,,冷埤登山口,冷埤,冷埤登山口,24.43,121.38,創傷,5,0,0,0,0,0,0,0,0,0,否,0,1,0,0,是
宜蘭縣,2022,2022/12/18 08:05,2022/12/18 08:06,,否,太加縱走,,太平山,太平山,太平山,24.29,121.31,其他,4,0,0,0,1,0,0,0,0,0,否,0,1,1,0,否
花蓮縣,2022,2022/1/1 12:01,2022/1/1 13:23,2022/1/1 21:46,否,文山綠水步道,,綠水文山步道綠水登山口,綠水文山步道文山登山口,綠水文山步道文山登山口,24.1993,121.4941,迷路,3,0,1,0,0,0,0,0,0,0,,0,1,1,0,否
花蓮縣,2022,2022/1/13 09:58,2022/1/13 10:52,2022/1/13 14:27,否,二子山溫泉,,花蓮縣萬榮鄉二子山,二子山溫泉,二子山溫泉,23.83796,121.38763,動物或昆蟲攻擊,3,3,1,0,0,0,0,1,0,0,,0,10,5,0,是
花蓮縣,2022,2022/1/26 00:00,2022/1/26 10:52,2022/1/27 10:00,否,二子山,,花蓮縣萬榮鄉二子山,二子山溫泉,花蓮縣萬榮鄉二子山,23.883293,121.355698,天候惡劣,13,0,2,0,0,0,0,1,0,0,,0,7,7,0,否
花蓮縣,2022,2022/1/30 21:39,2022/1/30 21:39,2022/1/31 09:03,是,卡樓羅山,,奇萊登山口,安東軍山,奧萬大森林遊樂區,24.0799,121.3186,疾病,2,0,0,0,0,0,0,1,0,0,,0,2,0,0,是
花蓮縣,2022,2022/2/1 10:51,2022/2/2 07:00,2022/2/16 08:23,否,內嶺爾山前營地,,瑞穗林道,南三段,郡大林道34k,23.582274,121.190336,疾病,3,0,0,0,1,0,0,1,0,0,,0,1,0,0,是
花蓮縣,2022,2022/2/23 11:36,2022/2/23 12:33,2022/2/23 15:58,否,錐麓古道,,錐麓古道東口,錐麓古道3.1k往返,錐麓古道東口,24.176,121.557,墜谷,5,5,1,1,0,0,0,0,0,0,,0,1,0,0,否
花蓮縣,2022,2022/2/24 17:14,2022/2/25 08:00,2022/2/26 15:18,是,奇萊東稜,,奇萊山登山口,岳王亭,岳王亭,24.164,121.519,遲歸,9,0,0,1,0,0,0,4,0,0,,0,1,1,0,否
花蓮縣,2022,2022/3/23 13:24,2022/3/24 13:50,2022/3/24 15:00,是,沿海林道,,岳王亭,奇萊登山口,岳王亭,24.169556,121.514056,迷路,3,0,1,2,0,0,0,0,0,0,,0,1,0,0,否
花蓮縣,2022,2022/4/6 10:53,2022/4/6 14:30,2022/4/9 15:48,,阿波蘭山,,中平林道,清八通關出口,卓溪鄉卓溪村,23.42235,121.161,墜谷,7,0,2,1,2,0,0,3,0,0,,0,1,0,0,是
花蓮縣,2022,2022/4/12 14:39,2022/4/12 16:30,2022/4/13 15:35,,馬博橫斷,,東埔八通關,中平林道,中平林道,23.45504,121.2037,疾病,3,0,0,0,1,2,0,1,0,0,,0,1,0,0,是
花蓮縣,2022,2022/5/1 16:26,2022/5/1 16:26,2022/5/4 19:03,否,南高山南側,花蓮林區管理處,奧萬大森林遊樂區,屯原登山口,屯原登山口,23.9767,121.264,遲歸,2,1,0,0,2,0,0,0,0,0,否,0,2,2,0,否
花蓮縣,2022,2022/5/7 13:09,2022/5/7 13:40,2022/5/7 17:35,否,綠水文山步道,,綠水文山步道綠水登山口,綠水文山步道文山登山口,綠水文山步道文山登山口,24.2031,121.4896,墜谷,11,0,2,1,0,0,0,0,0,0,,0,2,0,0,是
